,gameIds,timeStamps,queues,seasons
0,2658598860,1511938413395,430,9
1,2658601876,1511936088381,430,9
2,2658219280,1511903757227,400,9
3,2658205645,1511901919198,400,9
4,2658179095,1511898579491,430,9
5,2653670138,1511458659573,430,9
6,2653655668,1511457014430,430,9
7,2653629027,1511454044319,430,9
8,2653627286,1511453185531,430,9
9,2653625064,1511451937684,1000,9
10,2653512035,1511422990163,430,9
11,2653448023,1511419388687,430,9
12,2653407641,1511417060831,430,9
13,2653373813,1511414528992,430,9
14,2653352828,1511412729664,430,9
15,2653305021,1511409787150,430,9
16,2653035787,1511393960481,400,9
17,2652103546,1511318542635,430,9
18,2652047415,1511315175048,430,9
19,2652026292,1511312725082,430,9
20,2678620202,1514138772572,400,9
21,2678507955,1514136705778,400,9
22,2678228350,1514091702781,1010,9
23,2678221972,1514090217274,1010,9
24,2677274732,1513981375463,420,9
25,2676541203,1513912605797,400,9
26,2676520482,1513910547783,400,9
27,2676490658,1513908324362,1010,9
28,2675660391,1513812223995,400,9
29,2675628022,1513809260011,1010,9
30,2673445724,1513562577551,400,9
31,2672725165,1513496625558,400,9
32,2671304862,1513373174854,400,9
33,2671267497,1513369800801,400,9
34,2670629578,1513276402906,920,9
35,2670624999,1513273588806,400,9
36,2670641576,1513272142188,400,9
37,2670617483,1513268897562,400,9
38,2670593868,1513264223005,400,9
39,2670060568,1513219877658,400,9
40,2679127202,1514178561499,1010,9
41,2679088344,1514175966697,1010,9
42,2678898651,1514156666097,450,9
43,2678876244,1514154999183,450,9
44,2678872927,1514153809147,450,9
45,2678836775,1514152452453,450,9
46,2678831283,1514150552261,450,9
47,2678800007,1514149326463,450,9
48,2678755227,1514147635779,450,9
49,2678258310,1514094096265,1010,9
50,2678251414,1514092440370,1010,9
51,2678197140,1514089086709,1010,9
52,2678136055,1514085919061,430,9
53,2678115928,1514083730954,1010,9
54,2678079041,1514081581517,1010,9
55,2678073018,1514079939570,450,9
56,2677503482,1514001472257,420,9
57,2677458779,1513998390780,420,9
58,2677437553,1513995983006,420,9
59,2677410283,1513993643198,420,9
60,2679795366,1514272897424,450,9
61,2679778786,1514271091456,450,9
62,2679312141,1514219458573,420,9
63,2679288920,1514217040452,420,9
64,2679304158,1514214344762,420,9
65,2679292751,1514211903327,420,9
66,2679269273,1514206262789,450,9
67,2679259670,1514204892595,450,9
68,2679267476,1514203234352,450,9
