,name,summonerIds,accountIds,totalChampScores,Champ1,Champ1Points,Champ2,Champ2Points,Champ3,Champ3Points,rank
0,TheMuffinMan97,80260196,234978494,102,157,82739,75,46520,202,28055,NA
1,Molegg Bal,76370158,233380588,309,201,48127,111,36525,98,26851,SILVER
2,141Masters,53785856,216581538,468,121,90339,238,89519,157,70483,GOLD
3,Pheejhmoo,63970147,226575957,267,75,258331,105,221349,5,210854,SILVER
4,DUNKNGOHAMZIES,22775348,36679824,89,107,20316,37,12016,245,11959,BRONZE
5,YABO2,64806487,226812075,497,107,105291,412,68677,245,57196,GOLD
6,TW Mina,38976245,201732981,297,40,109800,18,75305,236,58397,SILVER
7,vampiresland,79962076,234887208,163,55,128389,103,98468,61,69857,SILVER
8,GXuanMing,81140287,235340484,175,32,112363,111,68027,120,40472,SILVER
9,TossThoseDigits2,85390052,237796795,171,157,110457,84,35530,23,29069,SILVER
10,Im 2Trickky 4 u,32860316,47735787,144,105,103838,238,34771,103,31927,SILVER
11,XxlivewirexX,48539442,47821633,205,19,54685,131,50718,236,48405,BRONZE
12,RazorSight,24138548,38397600,54,13,238178,3,135675,25,8213,BRONZE
13,killerkillset,72511123,231352965,91,89,113182,99,102926,245,78337,BRONZE
14,FuriouslyClicks,74471176,232505399,356,29,120125,45,106815,10,98408,SILVER
15,gildednoob1224,81809523,235670381,29,35,627981,19,13561,41,6895,SILVER
16,mask55,29519782,43761070,272,141,59307,131,51369,110,51166,GOLD
17,NickNumero,37263509,200300024,110,18,79938,101,75033,21,55041,SILVER
18,Goldmuncher,24482908,38839342,240,104,33550,245,24909,59,21623,SILVER
19,Swiggz,60884015,222726721,208,110,116660,61,48341,25,39945,BRONZE
20,SidewalkShowdown,34795846,49223481,313,64,602396,81,162170,51,100348,SILVER
21,craftwarrior11,77341410,233957640,254,202,177413,86,80568,223,76420,SILVER
22,Bashlas,160097,186936,190,77,56025,36,18118,222,14790,SILVER
23,ziggywillfred,39126092,202219993,287,111,152982,412,146038,16,103411,SILVER
24,Eason0322,40243803,203281699,288,81,317483,51,227554,150,178937,SILVER
25,ScrubMcMuffin,19891961,32645089,104,126,65294,245,30031,164,29185,SILVER
26,NoSpeakEngg,77072396,233818093,248,163,45236,78,36671,17,36641,SILVER
27,SemiHuman,70989420,32141552,304,238,156789,41,155130,112,67880,GOLD
28,RSVL LAX,45117935,207955523,310,412,73846,67,65459,64,42087,SILVER
29,W1NTER305,58405294,219648671,213,236,125463,102,103786,38,73667,GOLD
30,BambooEatPanda,44449248,206972145,387,157,247740,64,138793,8,118053,PLATINUM
31,inting yasuo ,59730182,220706859,338,157,181737,64,116131,55,112243,GOLD
32,mexicano6969,52370577,215060880,348,67,111675,412,90445,222,68520,GOLD
33,SecondAirbane,73742071,232160389,307,161,408046,111,164677,157,95448,GOLD
34,Vexitron,36837777,51355723,330,412,83291,134,74367,201,68517,PLATINUM
35,Tsuyosi,35742727,42138601,255,150,53281,26,37267,114,31555,GOLD
36,STUCK GOLD 2,37415276,39292463,534,92,266637,67,246145,55,211755,GOLD
37,sitonmyfacenspin,48532185,211611505,248,154,209334,412,151055,19,112700,PLATINUM
38,somefatcracker,28964875,43102441,345,236,534120,51,157362,18,138987,PLATINUM
39,Athlete Mike,37145625,200145224,281,412,151060,58,59804,75,52572,DIAMOND
40,PumpkinEater69,62261110,225712572,251,223,217419,105,125410,81,97311,SILVER
41,MrOrange741,79901713,234868970,228,154,156027,122,139708,141,79465,SILVER
42,DesUberNiis,40358659,203344201,77,119,48876,18,20704,21,16963,SILVER
43,supportplz2,72809129,231416361,160,143,308769,37,193780,43,89284,BRONZE
44,loufl200,37810647,200700240,70,23,15409,98,8743,238,7862,SILVER
45,AngelsTrumppet,77709163,234035827,258,78,793155,117,257047,18,175379,BRONZE
46,MiiMiu90,37355293,200343153,289,37,617485,267,610107,201,441131,BRONZE
47,MADHUS,50730028,213228505,145,17,48969,75,42059,54,41122,SILVER
48,fec3,77082691,233825267,113,22,355882,37,287286,83,176812,SILVER
49,MisterPoverty,47612371,210302556,234,164,78544,75,63999,236,48092,SILVER
50,KURRY THUNDER,62239736,222646341,48,35,60853,11,60041,32,38572,BRONZE
51,Linabuns,37679656,200659314,170,90,152729,22,119473,110,57473,BRONZE
52,Faizeout,37870589,200701180,105,25,243156,99,186288,222,87072,BRONZE
53,KS101,73800680,232304040,141,64,81151,76,79451,202,45653,BRONZE
54,TruNature,80931440,235397633,156,45,540629,240,491086,91,341337,BRONZE
55,PhxbiaHD,66601234,228064217,196,18,79454,222,71796,12,68807,BRONZE
56,dollymixure,26670948,41334022,19,17,28052,11,2695,44,2197,BRONZE
57,AnnieTheLolyta,80380456,235081220,87,99,295615,267,210732,16,114910,BRONZE
58,DontBeBronzePlz,88080186,239242393,74,126,34384,91,25402,245,23383,BRONZE
59,hundredandfirst,34129643,48291317,306,120,437385,5,248783,22,238648,BRONZE
60,SpeedyShark,71659461,230955618,92,25,113027,72,49279,45,26973,BRONZE
61,JpL Rko,60492502,221872240,95,99,87007,1,84594,86,53918,BRONZE
62,8nick2,51452192,214270566,168,202,25242,119,20696,222,17829,BRONZE
63,TietDuongQuy,51722905,214578146,153,67,198122,5,130460,10,68681,SILVER
64,Awesomedude8888,75993012,233275703,265,222,439642,51,166480,202,107849,SILVER
65,Young Mafia ,29819443,43999965,280,41,113422,114,38833,516,30389,SILVER
66,theolnighter,45561832,208377049,279,157,98233,90,83145,29,69780,SILVER
67,Keyna341,44272876,206970574,236,89,101717,78,53250,83,51722,BRONZE
68,Walkin Red,59141899,219846391,195,111,431715,53,195370,99,142854,SILVER
69,superspleefking,70582093,230547469,326,5,161301,54,108031,53,86807,SILVER
70,hulk8542,35912538,50539173,204,64,63718,60,43700,254,34365,SILVER
71,WhitePeopleTacos,44289729,206875539,243,222,604615,106,228139,58,186287,SILVER
72,The Nucleus,38710241,201462924,326,110,195223,236,108912,62,73754,SILVER
73,The Smooth ER,38859657,201590964,330,32,123767,254,80175,51,54906,SILVER
74,monster707,24725562,39145055,320,98,108529,37,94152,84,85422,SILVER
75,Bick my Lalls ,32970061,47457991,176,245,45265,516,35781,202,26504,SILVER
76,Larry SRT,67133171,228562709,40,37,315078,62,68241,25,40331,SILVER
77,XxKingWilliam,45296331,208279473,198,161,42690,202,39328,26,17458,SILVER
78,Zambooki,21327980,34639835,21,21,19545,267,9967,16,6400,SILVER
79,MÃ_ley Cyrus,84991194,237705169,55,222,274947,37,38544,40,27564,SILVER
80,CosmicTheory,30908793,45365807,306,64,127827,154,99949,92,76008,DIAMOND
81,The UN,50821675,213588201,345,103,289123,245,184292,222,178042,PLATINUM
82,GP Takes  TP,49348187,212031366,524,92,158947,238,134369,121,132050,DIAMOND
83,sup dogg,55424995,217481888,407,157,454132,4,178790,222,132641,PLATINUM
84,Kitcat,27766981,41601635,337,412,148515,25,72446,236,65170,DIAMOND
85,Blueie,31712918,46405266,251,13,206876,63,118551,104,102227,PLATINUM
86,Shnauz,21575536,35018398,298,89,231895,236,221478,412,130417,DIAMOND
87,GaÃ¬,47598672,210270881,297,92,487951,157,183071,105,123941,DIAMOND
88,Hi im Stollie,45107857,208040252,522,64,296464,154,194281,107,138208,DIAMOND
89,Hargunator24,76421043,233411461,166,34,907698,54,105460,11,66729,DIAMOND
90,yoonation,43403951,205946388,181,64,84620,157,61421,268,55476,GOLD
91,Okaebi,32545448,47459631,318,107,126732,119,90736,67,84226,GOLD
92,TheeGoodDr,53640102,216296927,58,48,121550,72,65578,68,14314,GOLD
93,ALWAYSTRUSTBRAUM,34793544,49170010,150,201,720889,48,228222,26,210044,PLATINUM
94,ScarredForLyfe,45513905,208433121,362,157,175923,35,104349,64,82643,PLATINUM
95,Vyne,38847588,201771003,138,102,50321,51,38982,22,33925,GOLD
96,qu1cksh1t,20239371,33123659,234,51,202119,236,91328,1,86487,GOLD
97,WONDERM4N,24669301,39073843,177,119,76042,157,75779,75,39610,PLATINUM
98,    DÃ¢m  SML    ,54850976,216982745,290,37,303206,21,258619,16,247143,PLATINUM
99,juhun1219,65440063,227462657,203,75,242093,24,220652,51,104244,DIAMOND
100,DILMA 13,78499124,1318568,254,112,111016,238,69952,67,57214,SILVER
101,Ackmarddak,76312158,233220058,284,245,256154,5,20380,114,16897,GOLD
102,LÃ£g,61832795,224107768,238,5,114398,11,44248,41,42493,SILVER
103,JustBeKilling,70332154,230348733,127,63,483716,201,205594,25,95154,GOLD
104,DarkMexicanRules,63458093,226507827,374,103,79646,92,75341,429,67894,SILVER
105,OrcaVal,19649830,32343715,49,5,22344,33,16385,57,10495,SILVER
106,Take My LP,38630996,201478626,280,119,352065,92,98570,32,63545,SILVER
107,TeitokuSama,80069632,233315696,350,35,111695,64,89929,92,81637,NA
108,hellobacon,67981332,228947816,227,157,605203,114,149568,55,73772,GOLD
109,Mr Coincidence,37303323,200221521,304,254,260888,76,165898,121,115781,SILVER
110,TR3SS,43019320,205165099,317,122,235366,111,203753,429,93458,GOLD
111,AYordleNamedLeo,20624596,33652428,239,18,183517,51,154310,40,43996,GOLD
112,Deathrelic,31854473,46467366,426,432,175878,103,123982,222,71972,GOLD
113,Carp Da Fish,51057630,214031567,392,150,105917,67,99686,2,63762,GOLD
114,PÃ_lty,47844908,210682065,511,202,156557,78,145762,245,83851,PLATINUM
115,Light Ethos,34270646,48561877,380,40,128777,412,81751,201,54662,GOLD
116,OBG sheenteemo,27233456,41905006,236,19,56311,79,45579,67,41747,GOLD
117,Mixed Nuts,37238761,200420216,448,79,62519,64,61941,54,59318,GOLD
118,AnimaDyl,40941907,49016108,56,59,27795,13,13862,31,8485,GOLD
119,Avery246813579,47813927,210645942,216,429,146086,67,137665,222,117487,GOLD
120,Will Smiths Son,39692111,49727886,284,245,223730,24,135419,82,127675,SILVER
121,BuyUrOwnWards,28383807,42656973,498,53,251116,267,106957,25,99746,BRONZE
122,showdominance,51400540,214219953,228,51,118749,21,106986,53,80041,SILVER
123,cidikarus,23452928,37541950,277,15,67146,102,58867,89,55719,SILVER
124,Xenovia1,58454070,219599458,197,1,462056,16,403761,99,111860,SILVER
125,ShintaBattousai,54870857,216978153,123,222,417631,157,346477,21,262484,SILVER
126,Noveaux,20459661,33409511,330,5,519173,19,161820,90,96020,SILVER
127,Ambrosius88,20691721,33769546,128,86,201296,90,138890,80,87564,BRONZE
128,Hopsiinn,36650555,50998020,356,84,96251,55,75488,157,63505,SILVER
129,MFryett,72890081,231625882,148,53,510642,99,146580,25,82641,SILVER
130,fLeefools,21824933,35365557,259,420,139683,2,113566,104,103124,GOLD
131,43SD43,66290726,227859211,251,32,154470,131,116931,203,93862,GOLD
132,POPO1094,54999381,216918460,387,107,82579,41,78474,61,73144,GOLD
133,Mikeyyo,19777808,32495220,251,412,212489,236,115179,51,113201,GOLD
134,ViperZ13,21326221,34671373,292,62,202310,154,202076,25,142674,GOLD
135,CLG WeeWee v2 ,25945567,40524523,128,498,43746,29,40574,119,38308,PLATINUM
136,DarrenBobb,77362425,234001103,100,14,139241,122,78968,2,15330,GOLD
137,getsTHEchesse,46701899,209620110,139,236,50875,76,47883,104,47115,SILVER
138,Vel0uria,44015201,48901105,150,7,307869,99,218514,103,135711,SILVER
139,Boom Go Shroom,58739540,219712739,117,17,322883,86,116042,11,88884,GOLD
140,dalong123,56008314,218021543,345,236,130852,412,111993,18,77404,DIAMOND
141,AFRlCAN,32413721,47220847,302,53,128098,412,94349,117,41467,DIAMOND
142,SKT Trash,75179852,232794121,341,421,418660,121,271413,104,239315,DIAMOND
143,Gangplank Main,30349949,44572547,436,41,467855,11,225932,81,79368,DIAMOND
144,kidD trunks,21369243,34734000,379,236,98502,81,67552,64,66176,PLATINUM
145,MasterDaniel,28810882,42902767,356,81,390905,202,259772,236,251220,DIAMOND
146,SupaIsntAPenguin,41681360,204487111,397,154,78404,107,70065,113,66672,DIAMOND
147,Discsinthesky,20543876,33559149,158,56,42801,44,40976,80,32239,DIAMOND
148,lShad0wl,83940705,237123847,195,92,92351,67,50947,96,41806,DIAMOND
149,iQT,41705902,204581567,456,92,355093,429,86377,114,86152,DIAMOND
150,Kinkou Shikari,51500987,214228552,378,98,402872,267,72024,412,56414,SILVER
151,EL DRAGON SENSEI,29594129,42952341,429,236,91980,99,78262,25,73615,SILVER
152,Tr24,67779179,228780127,359,35,255820,157,117266,236,101540,GOLD
153,BBlackCoffee,68722855,229352968,146,157,131004,236,54647,245,50698,SILVER
154,Bo Sua 7 Mau,60769709,221986761,359,85,78369,25,70187,34,68780,SILVER
155,thenewbie98,61160471,222906839,326,131,246606,157,200363,5,144583,GOLD
156,Toshiro Uzumaki,71780368,230989459,355,60,161224,154,138441,51,129556,SILVER
157,Setton,65641210,227506700,380,236,256324,114,186209,67,155730,SILVER
158,BlackDragoonKiD,19590146,32284031,254,67,184446,5,115525,24,79508,SILVER
159,RX4967ghoust,29227312,43515875,197,22,165490,21,137173,89,112215,GOLD
160,HolyBojangles,39259104,202063003,433,120,124223,64,92175,107,89615,PLATINUM
161,Green Phantom,26064277,40727681,338,412,496571,25,138163,67,114511,DIAMOND
162,Cait Is My Mate,21039987,34271014,122,51,362682,67,182741,22,86592,PLATINUM
163,jeddaaa,20144329,32988055,62,8,62212,99,26220,21,23524,PLATINUM
164,Foreign,55977728,217993983,386,61,104901,102,92991,113,57440,PLATINUM
165,Genocc,29451713,43604817,214,115,148258,122,106669,45,102809,PLATINUM
166,Sarko 5,31611419,46152128,293,51,249191,236,201892,119,116896,DIAMOND
167,Crownn of Thorns,24241886,38529313,175,67,300543,64,68100,236,65347,GOLD
168,NA Pizza,83751739,237165215,180,19,144230,33,38291,134,31016,DIAMOND
169,Oh Oh Ah Ah,30683567,45081964,420,92,305686,64,176562,157,101025,DIAMOND
170,ToadySim,28332396,35640234,329,4,83159,268,53307,105,44380,SILVER
171,JoshisakingHD,76400829,233404864,164,67,176437,105,79046,222,72825,BRONZE
172,Mr GÃ©ntleman,69341945,229688800,233,37,129325,202,105806,45,64085,SILVER
173,avatar azar,72061089,231194318,164,107,500045,29,299603,222,229888,SILVER
174,NA cure,55860670,217702579,314,76,40887,11,35372,421,34462,SILVER
175,erional,50512843,213083549,230,1,62344,89,61235,99,60889,BRONZE
176,Drop The Lantern,68993787,229553970,126,222,901669,202,178828,53,121483,SILVER
177,GinDThang,82701390,236197047,327,412,232279,157,169987,37,99291,BRONZE
178,BÃ¡nh Xu XÃª,80949995,235323941,274,64,127882,92,93646,157,80358,GOLD
179,PHoN3Y,20912216,34088816,358,115,45672,245,39439,63,37791,SILVER
180,NA Red,58961009,220062139,326,150,368684,63,210516,24,186487,SILVER
181,Smoke Mor Weed,50923551,213647388,171,44,114313,267,106064,89,80899,SILVER
182,YourBoyBrown,86189942,237927717,193,29,124284,64,69683,67,69432,GOLD
183,jeronimojones,33469079,47968057,39,21,195963,24,16826,5,16416,SILVER
184,Best Student CAN,51669561,211646662,336,64,197867,23,145700,238,97029,SILVER
185,Celebhel,31520414,45902081,252,56,428377,18,141873,113,95093,GOLD
186,Be Like Bullet,37735088,200800393,243,236,256662,67,152406,18,85403,GOLD
187,HellloAgain,38702789,201253190,230,222,70472,17,68444,67,48704,SILVER
188,Aidenzou,46851470,209747488,194,5,206490,54,184096,106,74063,SILVER
189,ArcismrtkaCZ,68879461,229387491,244,32,210914,161,169990,110,115726,SILVER
190,Scouter128,43019272,202001977,236,245,26983,12,25886,157,24684,SILVER
191,ChaoticCorgi,20959216,34154183,241,11,76897,56,42279,121,30407,SILVER
192,BenGozzy,22746936,36644346,16,77,8069,18,3013,45,2796,SILVER
193,VegeTableB 0v0,59239099,220141950,294,8,150271,81,79078,96,67204,GOLD
194,The New Ninjas,46178477,205584990,185,238,27302,498,21845,157,16720,SILVER
195,Daddyyy,23475567,37570673,250,134,92488,99,82192,43,56218,GOLD
196,Cynimin,49034368,211976268,268,267,37196,16,33011,117,21923,GOLD
197,Soar Samuel,87719776,238446782,120,29,61328,24,35656,55,25673,GOLD
198,Rin Takeru,49341615,212148041,347,238,61692,64,60954,245,41366,GOLD
199,MOUHAHALOL123,59489381,220488617,359,64,191723,412,187995,157,117574,GOLD
200,GoodLickinKFC,38317517,201379625,383,67,89425,157,47137,18,46972,SILVER
201,TehSmurflet,59774217,220928839,263,86,119763,25,101469,80,89144,SILVER
202,Ushjxd,73491116,232117182,225,25,195654,43,153800,89,127007,SILVER
203,Mix30,76641530,233614887,260,112,95428,122,60288,236,59825,SILVER
204,RokiOki,24090157,38337630,82,412,55725,91,46338,89,36629,BRONZE
