,Champ1,Champ1Points,Champ2,Champ2Points,Champ3,Champ3Points,accountIds,summonerIds,totalChampScores,name,rank
0,157,82739,75,46520,202,28055,234978494,80260196,102,TheMuffinMan97,NA
1,201,48127,111,36525,98,26851,233380588,76370158,309,Molegg Bal,SILVER
2,121,90339,238,89519,157,70483,216581538,53785856,468,141Masters,GOLD
3,75,258331,105,221349,5,210854,226575957,63970147,267,Pheejhmoo,SILVER
4,107,20316,37,12016,245,11959,36679824,22775348,89,DUNKNGOHAMZIES,BRONZE
5,107,105291,412,68677,245,57196,226812075,64806487,497,YABO2,GOLD
6,40,109800,18,75305,236,58397,201732981,38976245,297,TW Mina,SILVER
7,55,128389,103,98468,61,69857,234887208,79962076,163,vampiresland,SILVER
8,32,112363,111,68027,120,40472,235340484,81140287,175,GXuanMing,SILVER
9,157,110457,84,35530,23,29069,237796795,85390052,171,TossThoseDigits2,SILVER
10,105,103838,238,34771,103,31927,47735787,32860316,144,Im 2Trickky 4 u,SILVER
11,19,54685,131,50718,236,48405,47821633,48539442,205,XxlivewirexX,BRONZE
12,13,238178,3,135675,25,8213,38397600,24138548,54,RazorSight,BRONZE
13,89,113182,99,102926,245,78337,231352965,72511123,91,killerkillset,BRONZE
14,29,120125,45,106815,10,98408,232505399,74471176,356,FuriouslyClicks,SILVER
15,35,627981,19,13561,41,6895,235670381,81809523,29,gildednoob1224,SILVER
16,141,59307,131,51369,110,51166,43761070,29519782,272,mask55,GOLD
17,18,79938,101,75033,21,55041,200300024,37263509,110,NickNumero,SILVER
18,104,33550,245,24909,59,21623,38839342,24482908,240,Goldmuncher,SILVER
19,110,116660,61,48341,25,39945,222726721,60884015,208,Swiggz,BRONZE
20,64,602396,81,162170,51,100348,49223481,34795846,313,SidewalkShowdown,SILVER
21,202,177413,86,80568,223,76420,233957640,77341410,254,craftwarrior11,SILVER
22,77,56025,36,18118,222,14790,186936,160097,190,Bashlas,SILVER
23,111,152982,412,146038,16,103411,202219993,39126092,287,ziggywillfred,SILVER
24,81,317483,51,227554,150,178937,203281699,40243803,288,Eason0322,SILVER
25,126,65294,245,30031,164,29185,32645089,19891961,104,ScrubMcMuffin,SILVER
26,163,45236,78,36671,17,36641,233818093,77072396,248,NoSpeakEngg,SILVER
27,238,156789,41,155130,112,67880,32141552,70989420,304,SemiHuman,GOLD
28,412,73846,67,65459,64,42087,207955523,45117935,310,RSVL LAX,SILVER
29,236,125463,102,103786,38,73667,219648671,58405294,213,W1NTER305,GOLD
30,157,247740,64,138793,8,118053,206972145,44449248,387,BambooEatPanda,PLATINUM
31,157,181737,64,116131,55,112243,220706859,59730182,338,inting yasuo ,GOLD
32,67,111675,412,90445,222,68520,215060880,52370577,348,mexicano6969,GOLD
33,161,408046,111,164677,157,95448,232160389,73742071,307,SecondAirbane,GOLD
34,412,83291,134,74367,201,68517,51355723,36837777,330,Vexitron,PLATINUM
35,150,53281,26,37267,114,31555,42138601,35742727,255,Tsuyosi,GOLD
36,92,266637,67,246145,55,211755,39292463,37415276,534,STUCK GOLD 2,GOLD
37,154,209334,412,151055,19,112700,211611505,48532185,248,sitonmyfacenspin,PLATINUM
38,236,534120,51,157362,18,138987,43102441,28964875,345,somefatcracker,PLATINUM
39,412,151060,58,59804,75,52572,200145224,37145625,281,Athlete Mike,DIAMOND
40,223,217419,105,125410,81,97311,225712572,62261110,251,PumpkinEater69,SILVER
41,154,156027,122,139708,141,79465,234868970,79901713,228,MrOrange741,SILVER
42,119,48876,18,20704,21,16963,203344201,40358659,77,DesUberNiis,SILVER
43,143,308769,37,193780,43,89284,231416361,72809129,160,supportplz2,BRONZE
44,23,15409,98,8743,238,7862,200700240,37810647,70,loufl200,SILVER
45,78,793155,117,257047,18,175379,234035827,77709163,258,AngelsTrumppet,BRONZE
46,37,617485,267,610107,201,441131,200343153,37355293,289,MiiMiu90,BRONZE
47,17,48969,75,42059,54,41122,213228505,50730028,145,MADHUS,SILVER
48,22,355882,37,287286,83,176812,233825267,77082691,113,fec3,SILVER
49,164,78544,75,63999,236,48092,210302556,47612371,234,MisterPoverty,SILVER
50,35,60853,11,60041,32,38572,222646341,62239736,48,KURRY THUNDER,BRONZE
51,90,152729,22,119473,110,57473,200659314,37679656,170,Linabuns,BRONZE
52,25,243156,99,186288,222,87072,200701180,37870589,105,Faizeout,BRONZE
53,64,81151,76,79451,202,45653,232304040,73800680,141,KS101,BRONZE
54,45,540629,240,491086,91,341337,235397633,80931440,156,TruNature,BRONZE
55,18,79454,222,71796,12,68807,228064217,66601234,196,PhxbiaHD,BRONZE
56,17,28052,11,2695,44,2197,41334022,26670948,19,dollymixure,BRONZE
57,99,295615,267,210732,16,114910,235081220,80380456,87,AnnieTheLolyta,BRONZE
58,126,34384,91,25402,245,23383,239242393,88080186,74,DontBeBronzePlz,BRONZE
59,120,437385,5,248783,22,238648,48291317,34129643,306,hundredandfirst,BRONZE
60,25,113027,72,49279,45,26973,230955618,71659461,92,SpeedyShark,BRONZE
61,99,87007,1,84594,86,53918,221872240,60492502,95,JpL Rko,BRONZE
62,202,25242,119,20696,222,17829,214270566,51452192,168,8nick2,BRONZE
63,67,198122,5,130460,10,68681,214578146,51722905,153,TietDuongQuy,SILVER
64,222,439642,51,166480,202,107849,233275703,75993012,265,Awesomedude8888,SILVER
65,41,113422,114,38833,516,30389,43999965,29819443,280,Young Mafia ,SILVER
66,157,98233,90,83145,29,69780,208377049,45561832,279,theolnighter,SILVER
67,89,101717,78,53250,83,51722,206970574,44272876,236,Keyna341,BRONZE
68,111,431715,53,195370,99,142854,219846391,59141899,195,Walkin Red,SILVER
69,5,161301,54,108031,53,86807,230547469,70582093,326,superspleefking,SILVER
70,64,63718,60,43700,254,34365,50539173,35912538,204,hulk8542,SILVER
71,222,604615,106,228139,58,186287,206875539,44289729,243,WhitePeopleTacos,SILVER
72,110,195223,236,108912,62,73754,201462924,38710241,326,The Nucleus,SILVER
73,32,123767,254,80175,51,54906,201590964,38859657,330,The Smooth ER,SILVER
74,98,108529,37,94152,84,85422,39145055,24725562,320,monster707,SILVER
75,245,45265,516,35781,202,26504,47457991,32970061,176,Bick my Lalls ,SILVER
76,37,315078,62,68241,25,40331,228562709,67133171,40,Larry SRT,SILVER
77,161,42690,202,39328,26,17458,208279473,45296331,198,XxKingWilliam,SILVER
78,21,19545,267,9967,16,6400,34639835,21327980,21,Zambooki,SILVER
79,222,274947,37,38544,40,27564,237705169,84991194,55,Míley Cyrus,SILVER
80,64,127827,154,99949,92,76008,45365807,30908793,306,CosmicTheory,DIAMOND
81,103,289123,245,184292,222,178042,213588201,50821675,345,The UN,PLATINUM
82,92,158947,238,134369,121,132050,212031366,49348187,524,GP Takes  TP,DIAMOND
83,157,454132,4,178790,222,132641,217481888,55424995,407,sup dogg,PLATINUM
84,412,148515,25,72446,236,65170,41601635,27766981,337,Kitcat,DIAMOND
85,13,206876,63,118551,104,102227,46405266,31712918,251,Blueie,PLATINUM
86,89,231895,236,221478,412,130417,35018398,21575536,298,Shnauz,DIAMOND
87,92,487951,157,183071,105,123941,210270881,47598672,297,Gaì,DIAMOND
88,64,296464,154,194281,107,138208,208040252,45107857,522,Hi im Stollie,DIAMOND
89,34,907698,54,105460,11,66729,233411461,76421043,166,Hargunator24,DIAMOND
90,64,84620,157,61421,268,55476,205946388,43403951,181,yoonation,GOLD
91,107,126732,119,90736,67,84226,47459631,32545448,318,Okaebi,GOLD
92,48,121550,72,65578,68,14314,216296927,53640102,58,TheeGoodDr,GOLD
93,201,720889,48,228222,26,210044,49170010,34793544,150,ALWAYSTRUSTBRAUM,PLATINUM
94,157,175923,35,104349,64,82643,208433121,45513905,362,ScarredForLyfe,PLATINUM
95,102,50321,51,38982,22,33925,201771003,38847588,138,Vyne,GOLD
